optimization_strat,model,accuracy,dpd,model_parameter_string
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 3.0847611469672955e-05, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.00025475806243148517, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.0005642859851861557, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'LeakyReLU', 'dropout': 1}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 128, 'learning_rate': 0.1, 'batch_size': 256, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 3, 'units': 32, 'learning_rate': 0.00010770610593330191, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.0003674564975397127, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 3, 'units': 32, 'learning_rate': 8.777040908429805e-05, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.522615315718764,0.0007867820677347481,"{'layers': 4, 'units': 32, 'learning_rate': 0.0005385497474460577, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.522615315718764,0.0007867820677347481,"{'layers': 4, 'units': 32, 'learning_rate': 0.0003051284186367862, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.522615315718764,0.0007867820677347481,"{'layers': 4, 'units': 32, 'learning_rate': 0.0003213920484489167, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'LeakyReLU', 'dropout': 1}"
Botorch,NN,0.5230631437527989,0.0014450866729021072,"{'layers': 3, 'units': 32, 'learning_rate': 4.921760713545689e-05, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5270935960591133,0.001803770661354065,"{'layers': 3, 'units': 61, 'learning_rate': 0.0003651536514240078, 'batch_size': 155, 'optimizer': 'SGD', 'activation': 'LeakyReLU', 'dropout': 1}"
Botorch,NN,0.5311240483654277,0.0037998659536242485,"{'layers': 3, 'units': 32, 'learning_rate': 0.00013014560366329914, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5364979847738468,0.01426889281719923,"{'layers': 3, 'units': 32, 'learning_rate': 0.00014661252374876767, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5463502015226153,0.01555827260017395,"{'layers': 3, 'units': 32, 'learning_rate': 5.397437258420407e-05, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.6032243618450515,0.038523197174072266,"{'layers': 2, 'units': 32, 'learning_rate': 4.3758345900998806e-05, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.7630989699955217,0.059573978185653687,"{'layers': 1, 'units': 128, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'Adam', 'activation': 'Tanh', 'dropout': 2}"
Botorch,NN,0.8172861621137483,0.07394838333129883,"{'layers': 1, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'Tanh', 'dropout': 2}"
Botorch,NN,0.825347066726377,0.12015935778617859,"{'layers': 3, 'units': 105, 'learning_rate': 0.0018172027927374488, 'batch_size': 61, 'optimizer': 'Adam', 'activation': 'LeakyReLU', 'dropout': 1}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.8226600985221675,0.144645094871521,"{'layers': 2, 'units': 55, 'learning_rate': 0.0014438519759190378, 'batch_size': 103, 'optimizer': 'Adam', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 2, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 3, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 2, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 2, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
